Date,Time,HomeTeam,Score,AwayTeam,Week,Season
08/08/2022,20:15,Gil Vicente,1-0,Paços de Ferreira,J01,2022-2023
07/08/2022,20:30,Portimonense,0-1,Boavista,J01,2022-2023
07/08/2022,20:30,GD Chaves,0-1,Vitória SC,J01,2022-2023
07/08/2022,18:00,SC Braga,3-3,Sporting,J01,2022-2023
07/08/2022,15:30,Santa Clara,0-0,Casa Pia,J01,2022-2023
06/08/2022,20:30,FC Porto,5-1,Marítimo,J01,2022-2023
06/08/2022,18:00,Estoril Praia,2-0,FC Famalicão,J01,2022-2023
06/08/2022,15:30,Rio Ave,0-1,FC Vizela,J01,2022-2023
05/08/2022,20:15,Benfica,4-0,FC Arouca,J01,2022-2023
15/05/2022,20:30,Vitória SC,5-0,Gil Vicente,J34,2021-2022
15/05/2022,18:00,FC Famalicão,3-2,SC Braga,J34,2021-2022
14/05/2022,20:30,Sporting,4-0,Santa Clara,J34,2021-2022
14/05/2022,18:00,Marítimo,0-1,Portimonense,J34,2021-2022
14/05/2022,18:00,FC Porto,2-0,Estoril Praia,J34,2021-2022
14/05/2022,15:30,Moreirense,4-1,FC Vizela,J34,2021-2022
14/05/2022,15:30,FC Arouca,0-0,Belenenses SAD,J34,2021-2022
14/05/2022,15:30,CD Tondela,2-2,Boavista,J34,2021-2022
13/05/2022,20:15,Paços de Ferreira,0-2,Benfica,J34,2021-2022
09/05/2022,20:15,Belenenses SAD,2-3,FC Famalicão,J33,2021-2022
08/05/2022,20:30,Santa Clara,2-0,Paços de Ferreira,J33,2021-2022
08/05/2022,18:00,SC Braga,1-0,FC Arouca,J33,2021-2022
08/05/2022,15:30,Gil Vicente,3-0,CD Tondela,J33,2021-2022
08/05/2022,15:30,FC Vizela,1-1,Marítimo,J33,2021-2022
07/05/2022,20:30,Portimonense,2-3,Sporting,J33,2021-2022
07/05/2022,18:00,Benfica,0-1,FC Porto,J33,2021-2022
07/05/2022,15:30,Estoril Praia,1-0,Moreirense,J33,2021-2022
06/05/2022,20:15,Boavista,1-1,Vitória SC,J33,2021-2022
02/05/2022,20:15,Paços de Ferreira,1-1,CD Tondela,J32,2021-2022
01/05/2022,20:30,Sporting,4-1,Gil Vicente,J32,2021-2022
01/05/2022,18:00,Moreirense,1-2,Boavista,J32,2021-2022
01/05/2022,15:30,Vitória SC,1-1,Santa Clara,J32,2021-2022
30/04/2022,21:00,Belenenses SAD,0-1,SC Braga,J32,2021-2022
30/04/2022,19:00,FC Porto,4-2,FC Vizela,J32,2021-2022
30/04/2022,17:00,Marítimo,0-1,Benfica,J32,2021-2022
30/04/2022,15:00,FC Arouca,1-0,Portimonense,J32,2021-2022
29/04/2022,20:15,FC Famalicão,3-1,Estoril Praia,J32,2021-2022
25/04/2022,20:30,Boavista,0-3,Sporting,J31,2021-2022
25/04/2022,18:00,SC Braga,1-0,FC Porto,J31,2021-2022
24/04/2022,20:30,CD Tondela,1-1,Vitória SC,J31,2021-2022
24/04/2022,18:00,Estoril Praia,2-2,Belenenses SAD,J31,2021-2022
23/04/2022,20:30,Gil Vicente,1-1,Paços de Ferreira,J31,2021-2022
23/04/2022,18:00,Santa Clara,2-2,Marítimo,J31,2021-2022
23/04/2022,18:00,Benfica,0-0,FC Famalicão,J31,2021-2022
23/04/2022,15:30,Portimonense,1-0,Moreirense,J31,2021-2022
22/04/2022,20:15,FC Vizela,2-1,FC Arouca,J31,2021-2022
18/04/2022,20:30,Estoril Praia,0-0,SC Braga,J30,2021-2022
17/04/2022,20:30,Sporting,0-2,Benfica,J30,2021-2022
16/04/2022,20:30,FC Porto,7-0,Portimonense,J30,2021-2022
16/04/2022,18:00,Marítimo,4-0,Boavista,J30,2021-2022
16/04/2022,18:00,Belenenses SAD,1-0,FC Vizela,J30,2021-2022
16/04/2022,15:30,Moreirense,2-0,CD Tondela,J30,2021-2022
15/04/2022,20:30,Vitória SC,4-0,Paços de Ferreira,J30,2021-2022
15/04/2022,18:00,FC Famalicão,2-2,Gil Vicente,J30,2021-2022
15/04/2022,15:30,FC Arouca,1-1,Santa Clara,J30,2021-2022
10/04/2022,20:30,FC Vizela,0-1,SC Braga,J29,2021-2022
10/04/2022,18:00,Vitória SC,0-1,FC Porto,J29,2021-2022
10/04/2022,15:30,Santa Clara,2-0,Estoril Praia,J29,2021-2022
10/04/2022,15:30,Portimonense,1-0,FC Famalicão,J29,2021-2022
09/04/2022,20:30,CD Tondela,1-3,Sporting,J29,2021-2022
09/04/2022,18:00,Boavista,1-0,FC Arouca,J29,2021-2022
09/04/2022,18:00,Benfica,3-1,Belenenses SAD,J29,2021-2022
09/04/2022,15:30,Paços de Ferreira,2-0,Marítimo,J29,2021-2022
08/04/2022,20:15,Gil Vicente,1-2,Moreirense,J29,2021-2022
04/04/2022,20:15,FC Porto,3-0,Santa Clara,J28,2021-2022
03/04/2022,20:30,Sporting,2-0,Paços de Ferreira,J28,2021-2022
03/04/2022,18:00,Moreirense,0-1,Vitória SC,J28,2021-2022
03/04/2022,15:30,Marítimo,1-3,CD Tondela,J28,2021-2022
02/04/2022,20:30,FC Famalicão,1-2,Boavista,J28,2021-2022
02/04/2022,18:00,FC Arouca,2-1,Gil Vicente,J28,2021-2022
02/04/2022,18:00,Estoril Praia,1-2,FC Vizela,J28,2021-2022
02/04/2022,15:30,Belenenses SAD,2-0,Portimonense,J28,2021-2022
01/04/2022,20:15,SC Braga,3-2,Benfica,J28,2021-2022
20/03/2022,20:45,Boavista,0-1,FC Porto,J27,2021-2022
20/03/2022,20:00,Portimonense,1-2,SC Braga,J27,2021-2022
20/03/2022,18:00,Benfica,2-1,Estoril Praia,J27,2021-2022
20/03/2022,15:30,Paços de Ferreira,2-1,Moreirense,J27,2021-2022
20/03/2022,15:30,Gil Vicente,1-1,Marítimo,J27,2021-2022
19/03/2022,20:30,Vitória SC,1-3,Sporting,J27,2021-2022
19/03/2022,18:00,Santa Clara,0-0,Belenenses SAD,J27,2021-2022
19/03/2022,15:30,CD Tondela,2-2,FC Arouca,J27,2021-2022
18/03/2022,20:15,FC Vizela,1-1,FC Famalicão,J27,2021-2022
14/03/2022,20:15,Moreirense,0-2,Sporting,J26,2021-2022
13/03/2022,20:30,SC Braga,0-1,Gil Vicente,J26,2021-2022
13/03/2022,18:00,FC Porto,4-0,CD Tondela,J26,2021-2022
13/03/2022,15:30,Marítimo,0-1,Vitória SC,J26,2021-2022
12/03/2022,20:30,Belenenses SAD,0-0,Boavista,J26,2021-2022
12/03/2022,18:00,FC Arouca,0-1,Paços de Ferreira,J26,2021-2022
12/03/2022,15:30,FC Famalicão,0-0,Santa Clara,J26,2021-2022
12/03/2022,15:30,Estoril Praia,2-0,Portimonense,J26,2021-2022
11/03/2022,20:15,Benfica,1-1,FC Vizela,J26,2021-2022
07/03/2022,20:15,CD Tondela,1-1,Belenenses SAD,J25,2021-2022
06/03/2022,20:30,Vitória SC,2-1,FC Famalicão,J25,2021-2022
06/03/2022,20:30,Santa Clara,3-1,FC Vizela,J25,2021-2022
06/03/2022,18:00,Paços de Ferreira,2-4,FC Porto,J25,2021-2022
06/03/2022,15:30,Moreirense,0-1,Marítimo,J25,2021-2022
05/03/2022,20:30,Sporting,2-0,FC Arouca,J25,2021-2022
05/03/2022,18:00,Portimonense,1-2,Benfica,J25,2021-2022
05/03/2022,15:30,Boavista,1-1,SC Braga,J25,2021-2022
04/03/2022,20:15,Gil Vicente,0-0,Estoril Praia,J25,2021-2022
28/02/2022,20:15,SC Braga,0-0,Santa Clara,J24,2021-2022
27/02/2022,20:30,FC Porto,1-1,Gil Vicente,J24,2021-2022
27/02/2022,18:00,Estoril Praia,2-3,Boavista,J24,2021-2022
27/02/2022,18:00,Benfica,3-0,Vitória SC,J24,2021-2022
27/02/2022,15:30,FC Vizela,1-1,Portimonense,J24,2021-2022
26/02/2022,20:30,FC Arouca,1-1,Moreirense,J24,2021-2022
26/02/2022,18:00,Marítimo,1-1,Sporting,J24,2021-2022
26/02/2022,15:30,FC Famalicão,2-1,CD Tondela,J24,2021-2022
25/02/2022,20:15,Belenenses SAD,0-2,Paços de Ferreira,J24,2021-2022
21/02/2022,20:15,Santa Clara,1-1,Portimonense,J23,2021-2022
20/02/2022,20:45,CD Tondela,0-1,SC Braga,J23,2021-2022
20/02/2022,20:00,Moreirense,0-1,FC Porto,J23,2021-2022
20/02/2022,18:00,Sporting,3-0,Estoril Praia,J23,2021-2022
20/02/2022,15:30,Marítimo,0-1,FC Famalicão,J23,2021-2022
19/02/2022,20:30,Vitória SC,1-3,FC Arouca,J23,2021-2022
19/02/2022,18:00,Paços de Ferreira,2-1,FC Vizela,J23,2021-2022
19/02/2022,15:30,Gil Vicente,2-0,Belenenses SAD,J23,2021-2022
18/02/2022,20:15,Boavista,2-2,Benfica,J23,2021-2022
14/02/2022,20:15,FC Arouca,0-3,Marítimo,J22,2021-2022
13/02/2022,20:30,FC Vizela,0-1,Gil Vicente,J22,2021-2022
13/02/2022,18:00,Belenenses SAD,1-0,Vitória SC,J22,2021-2022
13/02/2022,15:30,FC Famalicão,5-0,Moreirense,J22,2021-2022
12/02/2022,20:30,Estoril Praia,1-0,CD Tondela,J22,2021-2022
12/02/2022,18:00,Portimonense,1-1,Boavista,J22,2021-2022
12/02/2022,18:00,Benfica,2-1,Santa Clara,J22,2021-2022
12/02/2022,15:30,SC Braga,2-1,Paços de Ferreira,J22,2021-2022
11/02/2022,20:15,FC Porto,2-2,Sporting,J22,2021-2022
07/02/2022,21:15,Moreirense,4-1,Belenenses SAD,J21,2021-2022
07/02/2022,19:00,CD Tondela,1-3,Benfica,J21,2021-2022
06/02/2022,20:30,Sporting,2-0,FC Famalicão,J21,2021-2022
06/02/2022,18:00,FC Arouca,0-2,FC Porto,J21,2021-2022
06/02/2022,15:30,Gil Vicente,2-2,Santa Clara,J21,2021-2022
06/02/2022,15:30,Boavista,2-2,FC Vizela,J21,2021-2022
05/02/2022,20:30,Vitória SC,2-1,SC Braga,J21,2021-2022
05/02/2022,18:00,Paços de Ferreira,1-1,Portimonense,J21,2021-2022
05/02/2022,15:30,Marítimo,0-0,Estoril Praia,J21,2021-2022
02/02/2022,20:45,Belenenses SAD,1-4,Sporting,J20,2021-2022
02/02/2022,19:00,Benfica,1-2,Gil Vicente,J20,2021-2022
01/02/2022,20:15,Santa Clara,2-1,Boavista,J20,2021-2022
31/01/2022,21:15,FC Famalicão,0-0,FC Arouca,J20,2021-2022
31/01/2022,19:00,Estoril Praia,0-0,Paços de Ferreira,J20,2021-2022
30/01/2022,20:30,FC Porto,2-1,Marítimo,J20,2021-2022
30/01/2022,18:00,SC Braga,2-0,Moreirense,J20,2021-2022
30/01/2022,15:30,Portimonense,1-2,CD Tondela,J20,2021-2022
30/01/2022,15:30,FC Vizela,3-2,Vitória SC,J20,2021-2022
27/01/2022,20:15,Estoril Praia,1-2,FC Arouca,J18,2021-2022
23/01/2022,20:30,FC Porto,3-1,FC Famalicão,J19,2021-2022
23/01/2022,18:00,Gil Vicente,1-0,Portimonense,J19,2021-2022
23/01/2022,15:30,Vitória SC,3-1,Estoril Praia,J19,2021-2022
23/01/2022,15:30,Marítimo,1-1,Belenenses SAD,J19,2021-2022
22/01/2022,20:30,Sporting,1-2,SC Braga,J19,2021-2022
22/01/2022,18:00,CD Tondela,2-3,FC Vizela,J19,2021-2022
22/01/2022,15:30,Moreirense,0-2,Santa Clara,J19,2021-2022
21/01/2022,21:15,Paços de Ferreira,1-1,Boavista,J19,2021-2022
21/01/2022,19:00,FC Arouca,0-2,Benfica,J19,2021-2022
17/01/2022,20:15,Portimonense,1-1,Vitória SC,J18,2021-2022
16/01/2022,20:30,Belenenses SAD,1-4,FC Porto,J18,2021-2022
16/01/2022,18:30,FC Famalicão,0-0,Paços de Ferreira,J18,2021-2022
16/01/2022,18:00,FC Vizela,0-2,Sporting,J18,2021-2022
16/01/2022,15:30,Santa Clara,2-2,CD Tondela,J18,2021-2022
15/01/2022,18:00,SC Braga,0-1,Marítimo,J18,2021-2022
15/01/2022,18:00,Benfica,1-1,Moreirense,J18,2021-2022
15/01/2022,15:30,Boavista,1-1,Gil Vicente,J18,2021-2022
13/01/2022,18:00,FC Famalicão,1-0,Belenenses SAD,J16,2021-2022
10/01/2022,20:15,Gil Vicente,3-2,Vitória SC,J17,2021-2022
09/01/2022,20:30,Belenenses SAD,2-1,FC Arouca,J17,2021-2022
09/01/2022,18:00,SC Braga,2-2,FC Famalicão,J17,2021-2022
09/01/2022,18:00,Benfica,2-0,Paços de Ferreira,J17,2021-2022
09/01/2022,15:30,Portimonense,1-2,Marítimo,J17,2021-2022
08/01/2022,20:30,Boavista,1-1,CD Tondela,J17,2021-2022
08/01/2022,18:00,Estoril Praia,2-3,FC Porto,J17,2021-2022
08/01/2022,15:30,FC Vizela,0-1,Moreirense,J17,2021-2022
07/01/2022,18:30,Santa Clara,3-2,Sporting,J17,2021-2022
03/01/2022,20:15,CD Tondela,2-1,Moreirense,J13,2021-2022
02/01/2022,18:30,FC Vizela,2-0,Belenenses SAD,J13,2021-2022
30/12/2021,21:00,FC Porto,3-1,Benfica,J16,2021-2022
30/12/2021,19:00,FC Arouca,0-6,SC Braga,J16,2021-2022
30/12/2021,17:00,Paços de Ferreira,2-1,Santa Clara,J16,2021-2022
29/12/2021,21:00,Sporting,3-2,Portimonense,J16,2021-2022
29/12/2021,19:00,Vitória SC,1-1,Boavista,J16,2021-2022
28/12/2021,21:00,Moreirense,1-0,Estoril Praia,J16,2021-2022
28/12/2021,19:00,Marítimo,2-0,FC Vizela,J16,2021-2022
28/12/2021,17:00,CD Tondela,0-3,Gil Vicente,J16,2021-2022
19/12/2021,21:00,SC Braga,1-0,Belenenses SAD,J15,2021-2022
19/12/2021,19:00,FC Vizela,0-4,FC Porto,J15,2021-2022
19/12/2021,17:00,Boavista,1-0,Moreirense,J15,2021-2022
19/12/2021,17:00,Benfica,7-1,Marítimo,J15,2021-2022
18/12/2021,20:30,Gil Vicente,0-3,Sporting,J15,2021-2022
18/12/2021,15:30,Portimonense,1-1,FC Arouca,J15,2021-2022
18/12/2021,15:30,CD Tondela,0-1,Paços de Ferreira,J15,2021-2022
17/12/2021,21:15,Estoril Praia,2-2,FC Famalicão,J15,2021-2022
17/12/2021,19:00,Santa Clara,1-0,Vitória SC,J15,2021-2022
13/12/2021,20:15,FC Arouca,1-4,FC Vizela,J14,2021-2022
12/12/2021,20:30,FC Porto,1-0,SC Braga,J14,2021-2022
12/12/2021,18:00,FC Famalicão,1-4,Benfica,J14,2021-2022
12/12/2021,15:30,Moreirense,0-1,Portimonense,J14,2021-2022
12/12/2021,15:30,Belenenses SAD,0-1,Estoril Praia,J14,2021-2022
11/12/2021,20:30,Sporting,2-0,Boavista,J14,2021-2022
11/12/2021,18:00,Vitória SC,5-2,CD Tondela,J14,2021-2022
11/12/2021,15:30,Marítimo,4-1,Santa Clara,J14,2021-2022
10/12/2021,20:15,Paços de Ferreira,0-1,Gil Vicente,J14,2021-2022
05/12/2021,20:30,SC Braga,2-0,Estoril Praia,J13,2021-2022
05/12/2021,18:00,Gil Vicente,4-0,FC Famalicão,J13,2021-2022
05/12/2021,15:30,Santa Clara,2-1,FC Arouca,J13,2021-2022
04/12/2021,20:30,Paços de Ferreira,1-2,Vitória SC,J13,2021-2022
04/12/2021,18:00,Boavista,1-1,Marítimo,J13,2021-2022
03/12/2021,21:15,Benfica,1-3,Sporting,J13,2021-2022
03/12/2021,19:00,Portimonense,0-3,FC Porto,J13,2021-2022
30/11/2021,20:15,SC Braga,4-1,FC Vizela,J12,2021-2022
29/11/2021,20:15,Estoril Praia,2-2,Santa Clara,J12,2021-2022
28/11/2021,20:30,FC Porto,2-1,Vitória SC,J12,2021-2022
28/11/2021,18:00,Sporting,2-0,CD Tondela,J12,2021-2022
28/11/2021,15:30,Marítimo,2-0,Paços de Ferreira,J12,2021-2022
27/11/2021,20:30,Belenenses SAD,0-7,Benfica,J12,2021-2022
27/11/2021,18:00,FC Arouca,2-1,Boavista,J12,2021-2022
27/11/2021,15:30,FC Famalicão,0-3,Portimonense,J12,2021-2022
26/11/2021,20:15,Moreirense,2-2,Gil Vicente,J12,2021-2022
07/11/2021,21:15,Benfica,6-1,SC Braga,J11,2021-2022
07/11/2021,19:00,Paços de Ferreira,0-2,Sporting,J11,2021-2022
07/11/2021,17:00,Santa Clara,0-3,FC Porto,J11,2021-2022
07/11/2021,14:00,CD Tondela,4-2,Marítimo,J11,2021-2022
06/11/2021,20:30,Vitória SC,2-1,Moreirense,J11,2021-2022
06/11/2021,18:00,Portimonense,2-0,Belenenses SAD,J11,2021-2022
06/11/2021,15:30,FC Vizela,1-1,Estoril Praia,J11,2021-2022
05/11/2021,21:15,Boavista,2-5,FC Famalicão,J11,2021-2022
05/11/2021,19:00,Gil Vicente,1-1,FC Arouca,J11,2021-2022
01/11/2021,21:15,Moreirense,1-1,Paços de Ferreira,J10,2021-2022
01/11/2021,19:00,SC Braga,3-0,Portimonense,J10,2021-2022
31/10/2021,20:30,FC Famalicão,1-1,FC Vizela,J10,2021-2022
31/10/2021,18:00,Belenenses SAD,2-1,Santa Clara,J10,2021-2022
31/10/2021,15:30,Marítimo,1-2,Gil Vicente,J10,2021-2022
30/10/2021,21:15,Sporting,1-0,Vitória SC,J10,2021-2022
30/10/2021,19:00,Estoril Praia,1-1,Benfica,J10,2021-2022
30/10/2021,17:00,FC Porto,4-1,Boavista,J10,2021-2022
29/10/2021,20:15,FC Arouca,2-0,CD Tondela,J10,2021-2022
25/10/2021,21:15,Boavista,0-0,Belenenses SAD,J9,2021-2022
25/10/2021,19:00,Gil Vicente,0-1,SC Braga,J9,2021-2022
24/10/2021,20:30,Portimonense,0-2,Estoril Praia,J9,2021-2022
24/10/2021,18:00,FC Vizela,0-1,Benfica,J9,2021-2022
24/10/2021,15:30,Paços de Ferreira,0-0,FC Arouca,J9,2021-2022
23/10/2021,20:30,Sporting,1-0,Moreirense,J9,2021-2022
23/10/2021,18:00,CD Tondela,1-3,FC Porto,J9,2021-2022
23/10/2021,15:30,Santa Clara,0-2,FC Famalicão,J9,2021-2022
22/10/2021,20:15,Vitória SC,2-1,Marítimo,J9,2021-2022
03/10/2021,20:30,SC Braga,2-2,Boavista,J8,2021-2022
03/10/2021,18:00,Estoril Praia,2-2,Gil Vicente,J8,2021-2022
03/10/2021,18:00,Benfica,0-1,Portimonense,J8,2021-2022
03/10/2021,15:30,Belenenses SAD,0-2,CD Tondela,J8,2021-2022
02/10/2021,20:30,FC Arouca,1-2,Sporting,J8,2021-2022
02/10/2021,18:00,FC Porto,2-1,Paços de Ferreira,J8,2021-2022
02/10/2021,15:30,FC Vizela,1-1,Santa Clara,J8,2021-2022
01/10/2021,21:15,FC Famalicão,1-2,Vitória SC,J8,2021-2022
01/10/2021,19:00,Marítimo,0-0,Moreirense,J8,2021-2022
27/09/2021,21:15,Boavista,1-1,Estoril Praia,J7,2021-2022
27/09/2021,19:00,Paços de Ferreira,2-2,Belenenses SAD,J7,2021-2022
26/09/2021,20:30,Portimonense,0-0,FC Vizela,J7,2021-2022
26/09/2021,18:00,Santa Clara,1-1,SC Braga,J7,2021-2022
25/09/2021,20:30,CD Tondela,3-2,FC Famalicão,J7,2021-2022
25/09/2021,18:00,Vitória SC,1-3,Benfica,J7,2021-2022
25/09/2021,15:30,Moreirense,2-1,FC Arouca,J7,2021-2022
24/09/2021,21:15,Gil Vicente,1-2,FC Porto,J7,2021-2022
24/09/2021,19:00,Sporting,1-0,Marítimo,J7,2021-2022
20/09/2021,21:15,SC Braga,3-1,CD Tondela,J6,2021-2022
20/09/2021,19:00,Benfica,3-1,Boavista,J6,2021-2022
19/09/2021,20:30,Estoril Praia,0-1,Sporting,J6,2021-2022
19/09/2021,18:00,FC Porto,5-0,Moreirense,J6,2021-2022
19/09/2021,15:30,FC Vizela,1-1,Paços de Ferreira,J6,2021-2022
18/09/2021,20:30,FC Arouca,2-2,Vitória SC,J6,2021-2022
18/09/2021,18:00,Belenenses SAD,1-1,Gil Vicente,J6,2021-2022
18/09/2021,15:30,FC Famalicão,0-0,Marítimo,J6,2021-2022
17/09/2021,20:15,Portimonense,2-1,Santa Clara,J6,2021-2022
13/09/2021,21:15,CD Tondela,1-2,Estoril Praia,J5,2021-2022
13/09/2021,19:00,Marítimo,2-2,FC Arouca,J5,2021-2022
12/09/2021,20:30,Vitória SC,0-0,Belenenses SAD,J5,2021-2022
12/09/2021,18:00,Gil Vicente,2-2,FC Vizela,J5,2021-2022
12/09/2021,18:00,Boavista,1-1,Portimonense,J5,2021-2022
12/09/2021,15:30,Moreirense,2-2,FC Famalicão,J5,2021-2022
11/09/2021,20:30,Sporting,1-1,FC Porto,J5,2021-2022
11/09/2021,18:00,Santa Clara,0-5,Benfica,J5,2021-2022
11/09/2021,15:30,Paços de Ferreira,0-0,SC Braga,J5,2021-2022
29/08/2021,20:30,Santa Clara,1-0,Gil Vicente,J4,2021-2022
29/08/2021,20:30,Portimonense,0-1,Paços de Ferreira,J4,2021-2022
29/08/2021,18:00,SC Braga,0-0,Vitória SC,J4,2021-2022
29/08/2021,18:00,Benfica,2-1,CD Tondela,J4,2021-2022
28/08/2021,20:30,FC Famalicão,1-1,Sporting,J4,2021-2022
28/08/2021,18:00,FC Porto,3-0,FC Arouca,J4,2021-2022
28/08/2021,15:30,FC Vizela,1-1,Boavista,J4,2021-2022
27/08/2021,21:15,Estoril Praia,2-1,Marítimo,J4,2021-2022
27/08/2021,19:00,Belenenses SAD,1-1,Moreirense,J4,2021-2022
23/08/2021,21:15,Boavista,2-0,Santa Clara,J3,2021-2022
23/08/2021,19:00,Paços de Ferreira,1-3,Estoril Praia,J3,2021-2022
22/08/2021,20:30,Vitória SC,4-0,FC Vizela,J3,2021-2022
22/08/2021,18:00,Marítimo,1-1,FC Porto,J3,2021-2022
22/08/2021,15:30,CD Tondela,0-3,Portimonense,J3,2021-2022
21/08/2021,20:30,Sporting,2-0,Belenenses SAD,J3,2021-2022
21/08/2021,18:00,Gil Vicente,0-2,Benfica,J3,2021-2022
20/08/2021,21:15,Moreirense,2-3,SC Braga,J3,2021-2022
20/08/2021,19:00,FC Arouca,2-1,FC Famalicão,J3,2021-2022
16/08/2021,21:15,Belenenses SAD,1-2,Marítimo,J2,2021-2022
16/08/2021,19:00,Boavista,3-0,Paços de Ferreira,J2,2021-2022
15/08/2021,20:30,Santa Clara,2-2,Moreirense,J2,2021-2022
15/08/2021,18:00,FC Famalicão,1-2,FC Porto,J2,2021-2022
15/08/2021,15:30,Portimonense,0-1,Gil Vicente,J2,2021-2022
14/08/2021,20:30,SC Braga,1-2,Sporting,J2,2021-2022
14/08/2021,18:00,Benfica,2-0,FC Arouca,J2,2021-2022
14/08/2021,15:30,FC Vizela,2-1,CD Tondela,J2,2021-2022
13/08/2021,20:15,Estoril Praia,0-0,Vitória SC,J2,2021-2022
09/08/2021,20:15,Gil Vicente,3-0,Boavista,J1,2021-2022
08/08/2021,20:30,Paços de Ferreira,2-0,FC Famalicão,J1,2021-2022
08/08/2021,18:00,FC Porto,2-0,Belenenses SAD,J1,2021-2022
08/08/2021,15:30,Vitória SC,0-1,Portimonense,J1,2021-2022
08/08/2021,15:30,CD Tondela,3-0,Santa Clara,J1,2021-2022
07/08/2021,20:30,Marítimo,0-2,SC Braga,J1,2021-2022
07/08/2021,18:00,Moreirense,1-2,Benfica,J1,2021-2022
07/08/2021,12:45,FC Arouca,0-2,Estoril Praia,J1,2021-2022
06/08/2021,20:15,Sporting,3-0,FC Vizela,J1,2021-2022
19/05/2021,21:45,Sporting,5-1,Marítimo,J34,2020-2021
19/05/2021,20:00,Vitória SC,1-3,Benfica,J34,2020-2021
19/05/2021,20:00,Santa Clara,4-0,Farense,J34,2020-2021
19/05/2021,20:00,Portimonense,0-0,SC Braga,J34,2020-2021
19/05/2021,20:00,Nacional,1-2,Rio Ave,J34,2020-2021
19/05/2021,20:00,Moreirense,3-0,FC Famalicão,J34,2020-2021
19/05/2021,20:00,Gil Vicente,1-2,Boavista,J34,2020-2021
19/05/2021,18:00,FC Porto,4-0,Belenenses SAD,J34,2020-2021
18/05/2021,20:15,CD Tondela,2-3,Paços de Ferreira,J34,2020-2021
16/05/2021,20:00,Marítimo,0-0,Vitória SC,J33,2020-2021
16/05/2021,17:00,Belenenses SAD,0-2,Santa Clara,J33,2020-2021
16/05/2021,15:00,FC Famalicão,3-0,Nacional,J33,2020-2021
15/05/2021,20:30,Rio Ave,0-3,FC Porto,J33,2020-2021
15/05/2021,18:00,Benfica,4-3,Sporting,J33,2020-2021
15/05/2021,15:30,Farense,1-0,CD Tondela,J33,2020-2021
15/05/2021,15:30,Boavista,1-0,Portimonense,J33,2020-2021
14/05/2021,21:15,SC Braga,2-1,Moreirense,J33,2020-2021
14/05/2021,19:00,Paços de Ferreira,0-2,Gil Vicente,J33,2020-2021
12/05/2021,20:15,Vitória SC,1-2,FC Famalicão,J32,2020-2021
11/05/2021,20:30,Sporting,1-0,Boavista,J32,2020-2021
11/05/2021,18:00,Nacional,1-3,Benfica,J32,2020-2021
11/05/2021,16:00,Santa Clara,1-0,Rio Ave,J32,2020-2021
11/05/2021,16:00,CD Tondela,1-3,Belenenses SAD,J32,2020-2021
10/05/2021,20:15,FC Porto,5-1,Farense,J32,2020-2021
10/05/2021,18:00,Portimonense,1-2,Moreirense,J32,2020-2021
09/05/2021,20:00,Gil Vicente,1-1,SC Braga,J32,2020-2021
09/05/2021,15:00,Paços de Ferreira,1-1,Marítimo,J32,2020-2021
07/05/2021,21:15,Boavista,1-1,CD Tondela,J31,2020-2021
07/05/2021,19:00,FC Famalicão,1-0,Santa Clara,J31,2020-2021
06/05/2021,20:30,Farense,2-2,Vitória SC,J31,2020-2021
06/05/2021,18:30,Benfica,1-1,FC Porto,J31,2020-2021
06/05/2021,17:00,Belenenses SAD,1-0,Portimonense,J31,2020-2021
06/05/2021,15:00,Moreirense,2-2,Nacional,J31,2020-2021
05/05/2021,21:15,Rio Ave,0-2,Sporting,J31,2020-2021
05/05/2021,19:00,SC Braga,1-1,Paços de Ferreira,J31,2020-2021
05/05/2021,19:00,Marítimo,0-1,Gil Vicente,J31,2020-2021
01/05/2021,20:30,Sporting,2-0,Nacional,J30,2020-2021
01/05/2021,18:00,Santa Clara,3-3,Boavista,J30,2020-2021
01/05/2021,18:00,Portimonense,0-0,Rio Ave,J30,2020-2021
01/05/2021,15:30,Gil Vicente,0-0,Farense,J30,2020-2021
30/04/2021,21:15,FC Porto,3-2,FC Famalicão,J30,2020-2021
30/04/2021,19:00,CD Tondela,0-2,Benfica,J30,2020-2021
30/04/2021,17:00,Vitória SC,2-0,Moreirense,J30,2020-2021
30/04/2021,15:00,Paços de Ferreira,1-0,Belenenses SAD,J30,2020-2021
29/04/2021,20:30,Marítimo,1-0,SC Braga,J30,2020-2021
27/04/2021,21:45,Farense,1-1,Portimonense,J29,2020-2021
26/04/2021,21:15,Moreirense,1-1,FC Porto,J29,2020-2021
26/04/2021,19:00,Nacional,1-0,Vitória SC,J29,2020-2021
26/04/2021,19:00,FC Famalicão,2-2,CD Tondela,J29,2020-2021
26/04/2021,19:00,Benfica,2-1,Santa Clara,J29,2020-2021
26/04/2021,17:00,Belenenses SAD,2-1,Gil Vicente,J29,2020-2021
25/04/2021,20:00,SC Braga,0-1,Sporting,J29,2020-2021
25/04/2021,17:30,Rio Ave,1-1,Paços de Ferreira,J29,2020-2021
25/04/2021,15:00,Boavista,0-1,Marítimo,J29,2020-2021
22/04/2021,21:00,FC Porto,1-0,Vitória SC,J28,2020-2021
22/04/2021,19:00,Portimonense,1-5,Benfica,J28,2020-2021
